Player,Nationality,Position,Club,Age,Born,90s,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (LiveBall),Take-ons attempted,Take-ons completed,successful takeon (%),Times tackled during takeon,Times tackled during takeon (%),Carries,Total carrying distance,Progressive carrying distance,Progressive carries,Carries into final third,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive passes received
Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10.0,285,246,285,0,0,0,285,0,0,,0,,175,818,475,0,0,0,1,0,132,0
Dušan Vlahović, SRB,FW,Juventus,22,2000,4.6,131,6,8,64,61,22,131,2,0,0.0,2,100.0,72,345,145,6,4,1,8,8,92,27
Adam Vlkanova, CZE,MF,Viktoria Plzeň,27,1994,5.1,195,7,37,93,72,9,195,13,5,38.5,7,53.8,96,601,319,10,11,1,10,12,100,16
Stefan de Vrij, NED,DF,Inter,30,1992,3.3,122,37,90,32,1,1,122,0,0,,0,,50,262,91,0,0,0,2,2,60,0
Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,3.1,219,13,68,103,54,4,219,5,4,80.0,1,20.0,115,660,392,9,8,2,2,0,137,11
Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,0.4,27,1,10,10,7,1,27,2,1,50.0,1,50.0,18,70,25,1,1,0,1,0,20,3
Stephen Welsh, SCO,DF,Celtic,22,2000,1.0,68,9,35,31,2,0,68,0,0,,0,,49,299,200,0,1,0,0,0,50,0
Wendell, BRA,DF,Porto,29,1993,1.6,120,3,37,54,31,1,120,2,2,100.0,0,0.0,63,480,322,9,6,0,0,0,67,3
Timo Werner, GER,FW,RB Leipzig,26,1996,5.6,275,3,25,123,128,27,275,11,4,36.4,5,45.5,215,1381,706,24,19,10,10,12,235,56
Owen Wijndal, NED,DF,Ajax,22,1999,0.8,57,3,15,22,20,5,57,0,0,,0,,43,143,80,2,2,1,0,0,42,7
Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,0.5,38,0,7,12,19,1,38,0,0,,0,,23,85,38,0,0,0,1,0,31,6
Axel Witsel, BEL,"DF,MF",Atlético Madrid,33,1989,5.1,386,24,139,219,28,5,386,2,1,50.0,1,50.0,270,1226,423,2,4,0,2,2,281,2
Maximilian Wöber, AUT,DF,RB Salzburg,24,1998,1.8,92,8,24,37,32,5,92,0,0,,0,,32,193,37,1,2,0,0,1,29,9
Marius Wolf, GER,DF,Dortmund,27,1995,2.0,124,7,29,41,56,8,124,4,2,50.0,2,50.0,73,344,175,3,2,1,1,1,80,13
Scott Wright, SCO,"FW,MF",Rangers,24,1997,1.5,49,4,12,23,16,1,49,2,1,50.0,0,0.0,32,129,34,0,1,0,5,1,35,3
Roman Yaremchuk, UKR,FW,Club Brugge,26,1995,1.2,51,0,6,21,25,4,51,4,2,50.0,2,50.0,35,162,64,2,3,2,4,4,46,6
Rıdvan Yılmaz, TUR,DF,Rangers,21,2001,1.0,60,6,19,22,19,2,60,2,1,50.0,1,50.0,35,181,90,0,4,0,2,1,31,4
Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,0.9,45,0,7,19,21,1,45,3,2,66.7,0,0.0,40,263,131,2,2,1,3,2,38,7
Denis Zakaria, SUI,MF,Chelsea,25,1996,0.8,52,2,12,32,9,1,52,1,0,0.0,1,100.0,39,202,106,4,2,0,1,1,39,2
Andre-Frank Zambo Anguissa, CMR,MF,Napoli,26,1995,7.2,475,14,101,299,87,16,475,25,14,56.0,7,28.0,346,1537,709,15,15,5,12,11,356,17
Alessandro Zanoli, ITA,DF,Napoli,21,2000,0.1,11,0,3,4,4,0,11,2,1,50.0,1,50.0,5,119,83,3,2,0,0,0,6,2
Zeca, GRE,MF,FC Copenhagen,33,1988,1.8,96,6,41,50,6,0,96,5,3,60.0,0,0.0,26,95,25,0,0,0,3,0,48,1
Alessio Zerbin, ITA,FW,Napoli,23,1999,0.6,49,1,6,22,22,2,49,3,0,0.0,3,100.0,33,214,114,5,4,1,3,1,35,9
Piotr Zieliński, POL,MF,Napoli,28,1994,6.9,427,5,46,214,171,17,424,15,8,53.3,5,33.3,292,1162,513,12,15,2,5,3,324,24
Hakim Ziyech, MAR,"FW,MF",Chelsea,29,1993,1.6,118,3,9,32,79,12,118,10,4,40.0,5,50.0,80,552,201,11,6,3,1,2,80,26
Oleksandr Zubkov, UKR,"FW,MF",Shakhtar,25,1996,4.1,160,5,48,76,37,6,160,10,2,20.0,7,70.0,109,705,325,8,8,2,13,8,112,12
Neven Đurasek, CRO,MF,Shakhtar,23,1998,1.0,47,4,15,29,3,0,47,1,0,0.0,1,100.0,27,143,65,3,0,0,1,0,30,2
