Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdYellow,CrdRed,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Borna Barišić, CRO,DF,Rangers,29,1992,6,5,465,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,5,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
Enzo Barrenechea, ARG,DF,Juventus,21,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Barrios, ESP,MF,Atlético Madrid,19,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Bassey, NGA,DF,Ajax,22,1999,6,6,540,6.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,3,16,8,0.0,0.17,0.17,0.0,0.17,0.0,0.02,0.02,0.0,0.02
Fortune Bassey, NGA,FW,Viktoria Plzeň,23,1998,5,1,134,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,3,5,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17
Alessandro Bastoni, ITA,DF,Inter,23,1999,12,12,983,10.9,0,3,3,0,0,0,2,0,0.2,0.2,2.0,2.2,18,46,21,0.0,0.27,0.27,0.0,0.27,0.02,0.18,0.2,0.02,0.2
Dylan Batubinsika, COD,DF,Maccabi Haifa,26,1996,5,5,450,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,7,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Martin Baturina, CRO,MF,Dinamo Zagreb,19,2003,5,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
Raoul Bellanova, ITA,"DF,MF",Inter,22,2000,3,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Héctor Bellerín, ESP,DF,Barcelona,27,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,6,7,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07
Jude Bellingham, ENG,MF,Dortmund,19,2003,7,7,630,7.0,4,1,5,4,0,0,2,0,1.3,1.3,0.7,2.0,16,50,22,0.57,0.14,0.71,0.57,0.71,0.19,0.1,0.29,0.19,0.29
Ismaël Bennacer, ALG,MF,Milan,24,1997,10,9,585,6.5,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.7,9,31,9,0.15,0.0,0.15,0.15,0.15,0.07,0.04,0.11,0.07,0.11
Rodrigo Bentancur, URU,"MF,FW",Tottenham,25,1997,6,6,503,5.6,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,11,51,7,0.18,0.0,0.18,0.18,0.18,0.07,0.05,0.12,0.07,0.12
Karim Benzema, FRA,FW,Real Madrid,34,1987,10,9,744,8.3,4,1,5,4,0,0,0,0,5.1,5.1,1.8,6.9,12,31,44,0.48,0.12,0.6,0.48,0.6,0.62,0.22,0.84,0.62,0.84
Steven Berghuis, NED,"MF,FW",Ajax,30,1991,6,6,462,5.1,2,2,4,2,0,0,1,0,1.1,1.1,0.6,1.7,6,39,15,0.39,0.39,0.78,0.39,0.78,0.21,0.13,0.33,0.21,0.33
Steven Bergwijn, NED,FW,Ajax,24,1997,6,6,519,5.8,2,0,2,1,1,1,1,0,1.8,1.0,0.8,1.8,12,16,49,0.35,0.0,0.35,0.17,0.17,0.31,0.13,0.44,0.17,0.3
Alexandro Bernabei, ARG,FW,Celtic,21,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28
Bernardo, BRA,DF,RB Salzburg,27,1995,4,2,274,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,6,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Juan Bernat, ESP,DF,Paris S-G,29,1993,5,3,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,11,18,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Victor Bernth Kristiansen, DEN,"DF,MF",FC Copenhagen,19,2002,6,5,483,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,6,11,19,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09
