Player,Nationality,Position,Club,Age,Born,90s,Total Passes attempted,Live Ball Passes,Dead Ball Passes,Passes from Free kicks,Through balls,Switches,Crosses,Throw-ins taken,Corner kicks,Inswinging Corner kicks,Outswinging Corner kicks,Straight Corner kicks,Passes completed,Passes offside,Passes blocked
Thiago Alcántara,ESP,MF,Liverpool,31,1991,3.4,232,224,8,6,1,9,2,2,0,0,0,0,205,0,3
Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,6.9,528,421,106,20,2,9,57,62,24,4,19,0,405,1,7
Sotiris Alexandropoulos,GRE,MF,Sporting CP,20,2001,1.3,42,40,2,1,0,1,0,0,0,0,0,0,33,0,2
Faride Alidou,GER,"DF,FW",Eint Frankfurt,21,2001,0.8,38,32,6,1,0,0,2,5,0,0,0,0,32,0,0
Alisson,BRA,GK,Liverpool,29,1992,8,274,225,47,10,0,1,0,0,0,0,0,0,242,2,0
Marcos Alonso,ESP,DF,Barcelona,31,1990,4.5,418,387,30,8,0,3,12,18,4,0,4,0,376,1,4
Éder Álvarez Balanta,COL,"MF,FW",Club Brugge,29,1993,0.6,17,16,1,1,0,0,0,0,0,0,0,0,13,0,0
Edson Álvarez,MEX,MF,Ajax,24,1997,5.9,364,359,5,5,0,1,0,0,0,0,0,0,312,0,4
Julián Álvarez,ARG,FW,Manchester City,22,2000,5.3,120,112,8,0,2,1,8,0,4,0,4,0,97,0,3
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,1.4,64,62,0,0,0,1,1,0,0,0,0,0,51,2,3
Robert Andrich,GER,MF,Leverkusen,27,1994,4.5,207,200,6,5,1,2,0,1,0,0,0,0,176,1,2
Peter Ankersen,DEN,DF,FC Copenhagen,31,1990,0.3,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Ofri Arad,ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Charles Aránguiz,CHI,MF,Leverkusen,33,1989,2.4,154,151,3,1,1,3,0,2,0,0,0,0,146,0,1
Henrique Araújo,POR,FW,Benfica,20,2002,0.1,8,8,0,0,0,0,2,0,0,0,0,0,5,0,0
Ronald Araújo,URU,DF,Barcelona,23,1999,1,55,49,6,5,0,3,0,1,0,0,0,0,47,0,0
Scott Arfield,CAN,MF,Rangers,33,1988,3,87,83,3,0,0,0,2,0,3,0,1,0,59,1,4
Hákon Arnar Haraldsson,ISL,FW,FC Copenhagen,19,2003,3.3,100,90,9,0,0,1,3,0,3,3,0,0,79,1,1
Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,9,273,214,58,12,0,0,0,0,0,0,0,0,199,1,0
Arthur,BRA,"MF,FW",Sporting CP,24,1998,1.2,43,39,4,0,1,0,3,2,1,1,0,0,33,0,3
Marco Asensio,ESP,"FW,MF",Real Madrid,26,1996,3.6,204,189,14,3,2,3,11,4,7,4,0,0,177,1,2
Kristjan Asllani,ALB,MF,Inter,20,2002,1.4,74,60,12,5,0,0,8,0,7,3,3,0,59,2,2
Omer Atzili,ISR,"FW,MF",Maccabi Haifa,29,1993,3.4,119,101,17,6,3,0,15,3,8,4,1,0,80,1,5
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,1989,4.5,102,94,6,0,0,0,3,0,0,0,0,0,78,2,3
Lynnt Audoor,BEL,MF,Club Brugge,18,2003,0.1,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Fredrik Aursnes,NOR,"FW,MF",Benfica,26,1995,6.9,369,358,8,0,1,9,7,8,0,0,0,0,297,3,13
