Player,Nationality,Position,Club,Age,Born,90s,Total Passes attempted,Live Ball Passes,Dead Ball Passes,Passes from Free kicks,Through balls,Switches,Crosses,Throw-ins taken,Corner kicks,Inswinging Corner kicks,Outswinging Corner kicks,Straight Corner kicks,Passes completed,Passes offside,Passes blocked
Timothy Fosu-Mensah,NED,"MF,DF",Leverkusen,24,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Lassina Franck Traoré,BFA,FW,Shakhtar,21,2001,2.7,49,42,6,0,1,0,0,0,0,0,0,0,35,1,3
André Franco,POR,MF,Porto,24,1998,0.2,19,15,4,1,0,0,6,0,3,2,1,0,12,0,0
Jeremie Frimpong,NED,"MF,FW",Leverkusen,21,2000,4.2,153,133,20,2,0,0,10,18,0,0,0,0,114,0,8
Kyogo Furuhashi,JPN,FW,Celtic,27,1995,4,55,44,11,1,0,0,3,1,0,0,0,0,38,0,2
Matteo Gabbia,ITA,DF,Milan,22,1999,2.3,106,100,6,1,0,1,0,1,0,0,0,0,94,0,0
Gianluca Gaetano,ITA,MF,Napoli,22,2000,0.3,36,35,1,1,0,0,0,0,0,0,0,0,32,0,0
Roberto Gagliardini,ITA,MF,Inter,28,1994,1.3,51,50,0,0,0,0,1,0,0,0,0,0,43,1,2
Cody Gakpo,NED,"FW,MF",Liverpool,23,1999,1.7,45,41,4,0,0,0,4,1,0,0,0,0,35,0,1
Galeno,BRA,"FW,MF",Porto,24,1997,6.3,179,166,11,0,0,1,13,10,1,0,0,0,122,2,13
Conor Gallagher,ENG,MF,Chelsea,22,2000,3.3,164,160,4,0,1,2,10,0,3,0,3,0,141,0,2
Eric García,ESP,DF,Barcelona,21,2001,2.5,190,184,6,6,1,2,2,0,0,0,0,0,183,0,0
Federico Gatti,ITA,DF,Juventus,24,1998,2,67,64,3,2,0,3,1,0,0,0,0,0,61,0,0
Gavi,ESP,MF,Barcelona,17,2004,3.7,168,160,8,3,0,0,7,0,0,0,0,0,141,0,6
Gerson,BRA,MF,Marseille,25,1997,1.3,63,58,3,3,0,0,2,0,0,0,0,0,52,2,1
Giorgos Giakoumakis,GRE,FW,Celtic,27,1994,2.7,34,34,0,0,0,0,0,0,0,0,0,0,21,0,2
Samuel Gigot,FRA,DF,Marseille,28,1993,2.8,170,165,5,3,0,0,2,2,0,0,0,0,156,0,0
Bryan Gil,ESP,MF,Tottenham,21,2001,0.4,20,20,0,0,0,1,3,0,0,0,0,0,13,0,2
Gilberto,BRA,DF,Benfica,29,1993,2.2,172,153,18,3,0,0,6,15,0,0,0,0,140,1,9
Olivier Giroud,FRA,FW,Milan,35,1986,10.4,221,207,12,1,1,1,2,0,0,0,0,0,141,2,7
Serge Gnabry,GER,"FW,MF",Bayern Munich,27,1995,3.8,166,158,7,2,3,2,4,0,2,1,0,1,135,1,3
Sean Goldberg,ISR,DF,Maccabi Haifa,27,1995,6,266,253,13,9,0,3,0,4,0,0,0,0,227,0,3
Connor Goldson,ENG,DF,Rangers,29,1992,3.5,152,141,10,10,0,1,0,0,0,0,0,0,115,1,3
Joe Gomez,ENG,DF,Liverpool,25,1997,3.3,214,205,9,1,3,3,2,8,0,0,0,0,170,0,5
Papu Gómez,ARG,"FW,MF",Sevilla,34,1988,2.7,125,118,6,2,1,6,6,3,1,0,0,0,102,1,1
Sergio Gómez,ESP,"DF,MF",Manchester City,21,2000,3.4,293,266,27,2,0,2,15,24,1,0,1,0,259,0,5
Diogo Gonçalves,POR,"FW,MF",Benfica,25,1997,0.4,19,16,2,0,0,0,2,0,2,2,0,0,14,1,0
Pedro Gonçalves,POR,"MF,FW",Sporting CP,24,1998,4,127,120,7,4,1,2,4,0,2,2,0,0,92,0,1
Leon Goretzka,GER,MF,Bayern Munich,27,1995,6.7,314,311,3,1,1,1,4,2,0,0,0,0,274,0,3
Robin Gosens,GER,DF,Inter,28,1994,4.7,231,203,27,1,0,2,12,26,0,0,0,0,182,1,5
Mario Götze,GER,"MF,FW",Eint Frankfurt,30,1992,5.8,252,228,21,6,1,0,12,2,4,3,1,0,189,3,4
Lucas Gourna-Douath,FRA,MF,RB Salzburg,18,2003,3.5,154,152,1,1,0,0,1,0,0,0,0,0,118,1,2
Kamil Grabara,POL,GK,FC Copenhagen,23,1999,4,124,89,35,7,0,0,0,0,0,0,0,0,79,0,0
Ryan Gravenberch,NED,MF,Bayern Munich,20,2002,2.8,143,138,4,1,2,0,3,1,1,0,1,0,118,1,4
Ivo Grbić,CRO,GK,Atlético Madrid,26,1996,1,30,20,10,1,0,0,0,0,0,0,0,0,20,0,0
Jack Grealish,ENG,FW,Manchester City,26,1995,10.4,509,478,30,4,1,3,21,13,13,8,1,2,433,1,16
Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,31,1991,4.5,245,225,19,3,3,3,20,2,12,11,0,1,190,1,3
Florian Grillitsch,AUT,MF,Ajax,26,1995,0.7,41,37,4,4,0,0,3,0,0,0,0,0,34,0,1
Álex Grimaldo,ESP,DF,Benfica,26,1995,10,664,569,94,15,1,3,27,76,3,0,3,0,558,1,16
Marko Grujić,SRB,MF,Porto,26,1996,3.1,145,142,2,2,0,1,2,0,0,0,0,0,124,1,5
Nemanja Gudelj,SRB,"DF,MF",Sevilla,30,1991,5.5,328,309,19,16,0,6,0,2,0,0,0,0,296,0,2
Gonçalo Guedes,POR,"FW,MF",Benfica,25,1996,0.5,19,19,0,0,0,0,1,0,0,0,0,0,13,0,2
Mattéo Guendouzi,FRA,MF,Marseille,23,1999,4.6,257,245,10,1,0,0,5,5,2,0,0,0,223,2,3
Raphaël Guerreiro,POR,DF,Dortmund,28,1993,5.3,311,248,63,11,0,0,10,48,4,0,3,0,253,0,5
Pape Gueye,SEN,MF,Marseille,23,1999,0.4,51,50,1,1,0,2,0,0,0,0,0,0,47,0,0
Péter Gulácsi,HUN,GK,RB Leipzig,32,1990,2.1,64,52,12,0,0,0,0,0,0,0,0,0,51,0,0
İlkay Gündoğan,GER,MF,Manchester City,31,1990,11,755,732,21,13,2,4,8,1,3,1,1,1,672,2,12
Joško Gvardiol,CRO,DF,RB Leipzig,20,2002,6,476,466,9,7,0,10,0,2,0,0,0,0,423,1,5
Erling Haaland,NOR,FW,Manchester City,22,2000,9.3,123,116,7,0,0,0,1,0,0,0,0,0,91,0,7
Amadou Haidara,MLI,MF,RB Leipzig,24,1998,3.8,191,190,0,0,1,0,0,0,0,0,0,0,173,1,2
Achraf Hakimi,MAR,"DF,MF",Paris S-G,23,1998,6.4,378,361,15,0,0,1,11,15,0,0,0,0,332,2,6
Sead Haksabanović,MNE,"MF,FW",Celtic,23,1999,2.5,107,91,16,4,1,2,18,1,9,4,2,0,78,0,2
Sébastien Haller,CIV,FW,Dortmund,28,1994,1.6,50,47,3,0,0,0,0,0,0,0,0,0,34,0,3
Marcel Halstenberg,GER,DF,RB Leipzig,30,1991,1.9,116,96,20,4,0,0,10,15,1,0,0,0,98,0,2
Amine Harit,MAR,MF,Marseille,25,1997,4.2,215,192,20,3,2,3,13,1,14,4,4,0,181,3,2
Joe Hart,ENG,GK,Celtic,35,1987,6,174,135,39,7,0,0,0,0,0,0,0,0,162,0,0
Makoto Hasebe,JPN,DF,Eint Frankfurt,38,1984,2.9,153,148,5,5,0,2,0,0,0,0,0,0,125,0,0
Reo Hatate,JPN,MF,Celtic,24,1997,5,242,240,2,1,3,2,1,1,0,0,0,0,188,0,3
Milan Havel,CZE,DF,Viktoria Plzeň,27,1994,4.7,127,101,25,2,0,0,10,23,0,0,0,0,92,1,3
Kai Havertz,GER,"FW,MF",Chelsea,23,1999,6.9,268,258,7,0,1,2,7,3,0,0,0,0,206,3,6
Eden Hazard,BEL,"FW,MF",Real Madrid,31,1991,1.5,66,63,3,0,0,0,0,2,0,0,0,0,58,0,1
Thorgan Hazard,BEL,"DF,FW",Dortmund,29,1993,2.2,98,81,17,4,0,1,7,9,4,3,1,0,75,0,3
Dolev Haziz,ISR,DF,Maccabi Haifa,27,1995,2.3,140,109,30,2,0,2,15,20,8,0,1,0,101,1,5
Lukáš Hejda,CZE,DF,Viktoria Plzeň,32,1990,5.7,84,80,3,3,0,0,1,0,0,0,0,0,73,1,2
Jordan Henderson,ENG,MF,Liverpool,32,1990,3.1,212,204,7,4,3,1,2,1,0,0,0,0,185,1,3
Jack Hendry,SCO,DF,Club Brugge,27,1995,1,56,55,1,1,0,1,0,0,0,0,0,0,44,0,0
Benjamin Henrichs,GER,"DF,MF",RB Leipzig,25,1997,2.2,94,82,12,0,1,1,5,12,0,0,0,0,76,0,1
Mario Hermoso,ESP,DF,Atlético Madrid,27,1995,1.8,120,116,4,2,0,1,4,2,0,0,0,0,109,0,0
Lucas Hernández,FRA,DF,Bayern Munich,26,1996,1.9,135,133,1,0,0,2,0,0,0,0,0,0,118,1,2
Theo Hernández,FRA,DF,Milan,24,1997,10.5,532,422,109,20,1,4,20,81,8,2,6,0,444,1,19
Son Heung-min,KOR,"MF,FW",Tottenham,30,1992,6.9,201,160,38,12,0,1,33,3,23,15,2,0,135,3,9
Piero Hincapié,ECU,DF,Leverkusen,20,2002,5,308,285,23,7,0,0,6,13,0,0,0,0,251,0,8
Adam Hložek,CZE,"MF,FW",Leverkusen,20,2002,3.1,88,86,2,0,1,0,1,1,0,0,0,0,65,0,0
Libor Holík,CZE,DF,Viktoria Plzeň,24,1998,3.2,85,60,25,1,0,0,15,24,0,0,0,0,55,0,2
Lukáš Hrádecký,FIN,GK,Leverkusen,32,1989,6,203,155,47,12,0,0,0,0,0,0,0,0,160,1,0
Callum Hudson-Odoi,ENG,FW,Leverkusen,21,2000,5.1,215,198,13,5,2,4,11,2,5,3,0,0,173,4,3
Mats Hummels,GER,DF,Dortmund,33,1988,3.5,224,218,5,5,0,5,0,0,0,0,0,0,190,1,3
Pierre Højbjerg,DEN,MF,Tottenham,26,1995,6.9,449,434,12,4,0,6,7,3,0,0,0,0,396,3,3
Samuel Iling-Junior,ENG,DF,Juventus,18,2003,0.2,8,8,0,0,0,0,4,0,0,0,0,0,4,0,0
Gonçalo Inácio,POR,DF,Sporting CP,20,2001,6,378,355,22,19,0,4,0,1,0,0,0,0,330,1,2
Isco,ESP,"MF,FW",Sevilla,30,1992,4.4,198,185,12,7,1,2,4,0,4,0,3,0,168,1,6
Franco Israel,URU,GK,Sporting CP,22,2000,1.7,70,40,30,8,0,0,0,0,0,0,0,0,43,0,0
Luka Ivanušec,CRO,MF,Dinamo Zagreb,23,1998,5.8,215,211,4,1,0,3,4,3,0,0,0,0,175,0,6
Ryan Jack,SCO,MF,Rangers,30,1992,2.1,77,77,0,0,0,0,3,0,0,0,0,0,61,0,1
Kristijan Jakić,CRO,DF,Eint Frankfurt,25,1997,6.8,375,329,46,6,0,4,11,40,0,0,0,0,291,0,6
Reece James,ENG,"DF,MF",Chelsea,22,1999,7.7,528,461,65,9,0,5,40,52,4,2,1,0,435,2,18
Adnan Januzaj,BEL,"FW,MF",Sevilla,27,1995,0.6,19,18,1,0,0,0,1,0,1,1,0,0,15,0,1
Luis Javier Suárez,COL,FW,Marseille,24,1997,1.3,32,31,1,0,0,0,1,0,0,0,0,0,21,0,1
Elias Jelert,DEN,"DF,MF",FC Copenhagen,19,2003,2.1,90,74,16,1,0,1,4,15,0,0,0,0,72,0,2
Václav Jemelka,CZE,DF,Viktoria Plzeň,27,1995,4,122,97,23,5,0,3,4,18,0,0,0,0,96,2,6
Valdemar Jensen,DEN,DF,FC Copenhagen,19,2003,3.4,167,163,3,2,0,4,0,1,0,0,0,0,145,1,0
Moritz Jenz,GER,DF,Celtic,23,1999,6,457,445,12,11,0,1,0,1,0,0,0,0,427,0,1
Juan Jesus,BRA,DF,Napoli,31,1991,2.3,151,146,4,4,0,0,0,0,0,0,0,0,137,1,2
Erik Jirka,SVK,"FW,MF",Viktoria Plzeň,24,1997,3,74,70,4,0,0,0,4,2,0,0,0,0,49,0,4
Ísak Jóhannesson,ISL,"FW,MF",FC Copenhagen,19,2003,3.2,83,70,13,3,2,3,14,0,10,8,1,0,56,0,4
Curtis Jones,ENG,"FW,MF",Liverpool,21,2001,1.1,45,44,0,0,0,0,1,0,0,0,0,0,36,1,1
Frenkie de Jong,NED,MF,Barcelona,25,1997,2.6,175,167,7,5,2,0,4,1,0,0,0,0,152,1,7
Joan Jordán,ESP,MF,Sevilla,28,1994,2.9,171,165,6,6,1,2,1,0,0,0,0,0,157,0,1
Jorginho,ITA,MF,Chelsea,30,1991,4.6,361,345,14,14,2,0,1,0,0,0,0,0,334,2,2
Jota,POR,FW,Celtic,23,1999,3.2,111,99,12,0,1,0,15,7,5,2,0,0,84,0,4
Diogo Jota,POR,"FW,MF",Liverpool,25,1996,2.9,95,93,1,0,0,0,2,0,0,0,0,0,74,1,2
Vinicius Júnior,BRA,FW,Real Madrid,22,2000,10.8,432,422,9,2,2,8,21,4,2,0,0,0,333,1,21
Josip Juranović,CRO,DF,Celtic,26,1995,6,342,289,51,5,0,0,19,46,0,0,0,0,281,2,10
Jutglà,ESP,FW,Club Brugge,23,1999,5.7,131,117,14,0,0,1,1,0,2,0,0,0,94,0,4
Issa Kaboré,BFA,DF,Marseille,21,2001,1.3,51,45,6,0,0,0,5,6,0,0,0,0,44,0,2
Pierre Kalulu,FRA,DF,Milan,22,2000,8.3,481,449,32,11,0,2,4,21,0,0,0,0,422,0,2
Lukáš Kalvach,CZE,MF,Viktoria Plzeň,27,1995,5.5,238,207,31,18,0,4,23,0,13,5,4,0,171,0,7
Daichi Kamada,JPN,"MF,FW",Eint Frankfurt,25,1996,7.7,316,294,20,9,1,4,14,0,8,4,3,0,250,2,6
Glen Kamara,FIN,MF,Rangers,26,1995,1.4,40,37,3,3,0,0,0,0,0,0,0,0,39,0,0
Dijon Kameri,KVX,MF,RB Salzburg,18,2004,1.3,41,38,3,0,0,1,2,0,0,0,0,0,32,0,1
Kevin Kampl,SVN,MF,RB Leipzig,31,1990,3,185,179,5,4,1,0,0,1,0,0,0,0,174,1,0
Harry Kane,ENG,FW,Tottenham,29,1993,8,251,235,12,4,6,2,9,4,0,0,0,0,160,4,9
N'Golo Kanté,FRA,MF,Chelsea,31,1991,1.8,79,79,0,0,1,0,5,0,0,0,0,0,64,0,3
Mamoudou Karamoko,FRA,FW,FC Copenhagen,22,1999,0.5,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Moise Kean,ITA,"FW,MF",Juventus,22,2000,1.2,18,17,1,0,0,1,2,0,0,0,0,0,12,0,1
Ryan Kent,ENG,"FW,MF",Rangers,25,1996,5.6,120,105,15,0,1,0,9,2,2,0,0,0,98,0,4
Franck Kessié,CIV,MF,Barcelona,25,1996,3,185,180,5,4,0,1,6,1,0,0,0,0,160,0,3
Davit Khocholava,GEO,DF,FC Copenhagen,29,1993,4.8,222,219,3,3,0,1,0,0,0,0,0,0,191,0,1
Joshua Kimmich,GER,MF,Bayern Munich,27,1995,9,710,639,66,31,5,4,40,7,28,15,12,0,619,5,3
Presnel Kimpembe,FRA,DF,Paris S-G,26,1995,1.6,103,92,11,4,0,0,0,5,0,0,0,0,98,0,2
Leon King,SCO,DF,Rangers,18,2004,4.2,198,190,8,4,0,2,1,4,0,0,0,0,156,0,5
Simon Kjær,DEN,DF,Milan,33,1989,5.6,276,265,10,9,0,1,0,0,0,0,0,0,237,1,0
Maurits Kjærgaard,DEN,MF,RB Salzburg,19,2003,5.5,152,141,10,2,0,0,19,2,6,6,0,0,96,1,2
Davy Klaassen,NED,MF,Ajax,29,1993,2.4,66,65,1,1,0,0,1,0,0,0,0,0,59,0,1
Jan Kliment,CZE,FW,Viktoria Plzeň,28,1993,0.5,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
Lukas Klostermann,GER,DF,RB Leipzig,26,1996,0.6,21,18,1,0,0,0,0,1,0,0,0,0,17,2,0
Ansgar Knauff,GER,"DF,FW",Eint Frankfurt,20,2002,3.3,132,105,27,1,0,0,4,26,0,0,0,0,84,0,1
Gregor Kobel,SUI,GK,Dortmund,24,1997,3.5,143,112,30,12,0,0,0,0,0,0,0,0,109,1,0
Philipp Köhn,SUI,GK,RB Salzburg,24,1998,6,143,89,54,22,0,0,0,0,0,0,0,0,95,0,0
Sekou Koita,MLI,FW,RB Salzburg,22,1999,0.2,8,7,1,0,0,0,0,1,0,0,0,0,7,0,0
Koke,ESP,MF,Atlético Madrid,30,1992,3.7,260,248,11,8,0,3,3,2,1,0,0,0,230,1,1
Sead Kolašinac,BIH,DF,Marseille,29,1993,1.7,118,108,10,6,0,0,0,4,0,0,0,0,102,0,1
Randal Kolo Muani,FRA,FW,Eint Frankfurt,23,1998,5.7,95,86,6,0,0,0,4,0,0,0,0,0,61,3,1
Ibrahima Konaté,FRA,DF,Liverpool,23,1999,2.9,139,133,5,4,0,2,0,1,0,0,0,0,106,1,0
Geoffrey Kondogbia,CTA,MF,Atlético Madrid,29,1993,2.5,210,206,2,1,0,9,2,1,0,0,0,0,182,2,1
Yukhym Konoplia,UKR,DF,Shakhtar,22,1999,4.6,212,177,32,3,0,2,5,29,0,0,0,0,175,3,9
Jan Kopic,CZE,"FW,MF",Viktoria Plzeň,32,1990,0.9,19,17,2,0,0,0,2,0,0,0,0,0,14,0,0
Odilon Kossonou,CIV,DF,Leverkusen,21,2001,4.8,314,290,24,6,1,2,2,18,0,0,0,0,260,0,6
Filip Kostić,SRB,"DF,FW",Juventus,29,1992,4.8,249,226,21,6,0,1,41,11,4,1,3,0,172,2,8
Kalidou Koulibaly,SEN,DF,Chelsea,31,1991,6.3,360,349,9,9,0,5,0,0,0,0,0,0,318,2,2
Jules Koundé,FRA,DF,Barcelona,23,1998,2.7,221,207,14,2,0,2,2,12,0,0,0,0,200,0,0
Mateo Kovačić,CRO,MF,Chelsea,28,1994,6.9,498,484,11,10,1,2,0,1,0,0,0,0,435,3,9
Adam Kronus,CZE,FW,Viktoria Plzeň,20,2002,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Toni Kroos,GER,MF,Real Madrid,32,1990,9.4,909,830,75,40,0,11,28,3,32,11,8,0,831,4,11
Rade Krunić,BIH,"MF,FW",Milan,28,1993,9.1,343,328,13,9,0,4,1,4,0,0,0,0,283,2,6
Dmytro Kryskiv,UKR,MF,Shakhtar,21,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Serhiy Kryvtsov,UKR,DF,Shakhtar,31,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,SWE,"MF,DF",Tottenham,22,2000,2.2,93,83,8,1,0,0,10,1,3,0,0,0,69,2,1
Khvicha Kvaratskhelia,GEO,FW,Napoli,21,2001,7.7,288,270,16,3,7,6,17,7,6,3,0,0,212,2,10
Konrad Laimer,AUT,"MF,FW",RB Leipzig,25,1997,2.9,91,88,3,1,0,0,2,2,0,0,0,0,74,0,1
Érik Lamela,ARG,"FW,MF",Sevilla,30,1992,3.1,121,118,2,0,1,1,3,1,0,0,0,0,97,1,1
Noa Lang,NED,FW,Club Brugge,23,1999,3.2,150,123,24,4,0,1,20,7,10,7,0,0,103,3,8
Aymeric Laporte,ESP,DF,Manchester City,28,1994,3.2,270,266,4,1,0,2,0,3,0,0,0,0,252,0,2
Cyle Larin,CAN,"FW,MF",Club Brugge,27,1995,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Rasmus Lauritsen,DEN,DF,Dinamo Zagreb,26,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neta Lavi,ISR,MF,Maccabi Haifa,25,1996,5.2,274,266,7,7,1,0,2,0,0,0,0,0,229,1,5
Rafael Leão,POR,"FW,MF",Milan,23,1999,10.1,250,243,7,0,1,4,25,5,0,0,0,0,175,0,13
Thomas Lemar,FRA,MF,Atlético Madrid,26,1995,1.2,64,57,6,2,0,3,6,0,4,2,1,0,50,1,1
Clément Lenglet,FRA,DF,Tottenham,27,1995,5.6,347,335,12,6,0,1,5,6,0,0,0,0,293,0,2
Christopher Lenz,GER,DF,Eint Frankfurt,27,1994,2.5,118,85,32,5,0,0,9,24,3,2,0,1,84,1,4
Lukas Lerager,DEN,MF,FC Copenhagen,29,1993,5,164,160,4,2,1,2,4,2,0,0,0,0,127,0,3
Robert Lewandowski,POL,FW,Barcelona,33,1988,4.9,131,124,5,0,5,0,6,0,0,0,0,0,86,2,5
Rico Lewis,ENG,DF,Manchester City,17,2004,1.3,97,92,5,1,0,0,1,4,0,0,0,0,88,0,0
Matthijs de Ligt,NED,DF,Bayern Munich,22,1999,6.8,474,466,7,6,0,2,0,1,0,0,0,0,440,1,1
Jesper Lindstrøm,DEN,"MF,FW",Eint Frankfurt,22,2000,5.6,133,122,11,2,1,0,10,3,5,1,4,0,87,0,8
Dominik Livaković,CRO,GK,Dinamo Zagreb,27,1995,6,253,150,103,27,0,0,0,0,0,0,0,0,172,0,0
Robert Ljubicic,AUT,"FW,DF",Dinamo Zagreb,23,1999,6,363,299,64,14,0,8,9,50,0,0,0,0,272,0,14
Marcos Llorente,ESP,"MF,FW",Atlético Madrid,27,1995,2.4,117,108,7,0,0,0,3,7,0,0,0,0,98,2,5
Hugo Lloris,FRA,GK,Tottenham,35,1986,6,176,129,47,5,0,0,0,0,0,0,0,0,150,0,0
Danny Loader,ENG,"FW,MF",Porto,21,2000,0.6,25,20,3,0,0,0,1,0,0,0,0,0,19,2,0
Stanislav Lobotka,SVK,MF,Napoli,27,1994,9.7,632,617,15,12,0,3,2,1,0,0,0,0,582,0,7
Manuel Locatelli,ITA,MF,Juventus,24,1998,2.5,196,186,9,5,1,2,6,1,3,3,0,0,170,1,1
Ruben Loftus-Cheek,ENG,MF,Chelsea,26,1996,3.2,189,184,3,2,0,2,1,0,0,0,0,0,166,2,1
Pau López,ESP,GK,Marseille,27,1994,6,177,142,34,9,0,1,0,0,0,0,0,0,135,1,0
Alexander lowry,SCO,MF,Rangers,19,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Hirving Lozano,MEX,FW,Napoli,27,1995,5.2,158,152,4,1,0,0,20,2,1,0,1,0,112,2,5
Florentino Luís,POR,MF,Benfica,22,1999,9.5,553,546,6,6,0,5,1,0,0,0,0,0,490,1,7
Romelu Lukaku,BEL,FW,Inter,29,1993,2.1,54,52,1,0,1,1,1,0,0,0,0,0,39,1,1
John Lundstram,ENG,"MF,DF",Rangers,28,1994,5,217,209,4,2,0,3,2,2,0,0,0,0,173,4,1
Andriy Lunin,UKR,GK,Real Madrid,23,1999,2,43,32,11,2,0,0,0,0,0,0,0,0,41,0,0
Mahir Madatov,AZE,FW,Dinamo Zagreb,25,1997,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Daizen Maeda,JPN,FW,Celtic,24,1997,3.7,71,71,0,0,0,0,6,0,0,0,0,0,51,0,5
Riyad Mahrez,ALG,"FW,MF",Manchester City,31,1991,5.6,319,289,30,4,0,7,20,11,15,7,1,1,275,0,4
Mike Maignan,FRA,GK,Milan,27,1995,7,260,197,63,14,0,0,0,0,0,0,0,0,217,0,1
Donyell Malen,NED,"FW,MF",Dortmund,23,1999,2.8,54,49,5,0,0,0,1,1,2,0,1,0,41,0,2
Reinildo Mandava,MOZ,DF,Atlético Madrid,28,1994,5.7,383,351,31,4,0,1,5,27,0,0,0,0,339,1,5
Sadio Mané,SEN,FW,Bayern Munich,30,1992,6.1,206,198,7,0,4,0,5,4,0,0,0,0,161,1,10
Iván Marcano,ESP,DF,Porto,35,1987,3,182,170,12,6,1,2,1,1,0,0,0,0,161,0,1
Marcão,BRA,DF,Sevilla,26,1996,2.5,164,162,2,2,0,1,0,0,0,0,0,0,141,0,1
José María Giménez,URU,DF,Atlético Madrid,27,1995,4.5,288,281,6,6,0,2,1,0,0,0,0,0,253,1,1
Mariano,DOM,FW,Real Madrid,28,1993,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Antonio Marin,CRO,FW,Dinamo Zagreb,21,2001,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
João Mário,POR,FW,Benfica,29,1993,9.6,503,479,24,8,2,3,25,5,11,5,3,0,429,0,10
João Mário Lopes,POR,DF,Porto,22,2000,3,104,83,21,2,0,1,8,19,0,0,0,0,78,0,2
Marquinhos,BRA,DF,Paris S-G,28,1994,7.3,409,387,22,13,1,1,0,2,0,0,0,0,379,0,2
José Marsà,ESP,DF,Sporting CP,20,2002,1.1,27,26,1,1,0,0,0,0,0,0,0,0,24,0,0
Lautaro Martínez,ARG,FW,Inter,24,1997,11.1,229,213,15,0,2,0,3,0,0,0,0,0,161,1,8
Toni Martínez,ESP,FW,Porto,25,1997,1.3,40,39,1,0,0,0,2,0,0,0,0,0,21,0,1
Clinton Mata,ANG,DF,Club Brugge,29,1992,1.8,125,111,14,2,0,0,3,12,0,0,0,0,96,0,4
Pape Matar Sarr,SEN,MF,Tottenham,19,2002,1,60,56,4,3,0,0,0,1,0,0,0,0,50,0,3
Joël Matip,CMR,DF,Liverpool,30,1991,2.7,175,172,3,3,0,0,0,0,0,0,0,0,155,0,0
Rabbi Matondo,WAL,"MF,FW",Rangers,21,2000,1.1,18,18,0,0,0,0,1,0,0,0,0,0,9,0,2
Mykola Matviyenko,UKR,DF,Shakhtar,26,1996,6,444,399,44,11,0,2,0,0,0,0,0,0,393,1,3
Philipp Max,GER,DF,Eint Frankfurt,28,1993,1.3,54,40,13,4,0,0,11,6,3,1,1,0,36,1,2
Eric Maxim Choupo-Moting,CMR,FW,Bayern Munich,33,1989,4.8,102,94,3,0,3,0,0,0,0,0,0,0,75,5,1
Noussair Mazraoui,MAR,DF,Bayern Munich,24,1997,4.4,312,271,40,4,0,1,8,36,0,0,0,0,260,1,5
Kylian Mbappé,FRA,FW,Paris S-G,23,1998,7.2,280,267,12,1,1,1,22,1,2,0,0,0,211,1,7
Chancel Mbemba,COD,DF,Marseille,27,1994,4.5,278,269,6,4,0,3,9,2,0,0,0,0,226,3,5
James McCarthy,IRL,MF,Celtic,31,1990,0.1,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
Allan McGregor,SCO,GK,Rangers,40,1982,5,196,132,62,11,0,0,0,0,0,0,0,0,121,2,0
Callum McGregor,SCO,MF,Celtic,29,1993,2.4,157,155,1,1,0,0,1,0,0,0,0,0,139,1,3
Weston McKennie,USA,MF,Juventus,23,1998,4,152,145,5,0,0,0,3,5,0,0,0,0,115,2,6
Jon McLaughlin,SCO,GK,Rangers,34,1987,1,31,24,7,2,0,0,0,0,0,0,0,0,21,0,0
Brandon Mechele,BEL,DF,Club Brugge,29,1993,8,462,453,9,8,0,5,0,0,0,0,0,0,402,0,2
Bjorn Meijer,NED,DF,Club Brugge,19,2003,6.4,308,252,54,2,2,1,8,52,0,0,0,0,226,2,8
Raz Meir,ISR,"DF,MF",Maccabi Haifa,25,1996,0.9,38,31,6,0,0,0,1,6,0,0,0,0,31,1,0
Arthur Melo,BRA,MF,Liverpool,25,1996,0.2,13,12,1,1,0,0,0,0,0,0,0,0,11,0,0
Memphis,NED,FW,Barcelona,28,1994,0.2,16,15,1,0,0,0,0,0,1,0,0,0,14,0,0
Sun Menachem,ISR,DF,Maccabi Haifa,28,1993,0.7,30,26,4,1,0,0,1,3,0,0,0,0,21,0,1
Nuno Mendes,POR,"DF,MF",Paris S-G,20,2002,4.9,220,183,36,2,1,4,12,33,1,0,1,0,162,1,11
Edouard Mendy,SEN,GK,Chelsea,30,1992,1,25,21,4,1,0,0,0,0,0,0,0,0,23,0,0
Ferland Mendy,FRA,DF,Real Madrid,27,1995,3.9,304,284,20,1,0,1,2,19,0,0,0,0,289,0,3
Alex Meret,ITA,GK,Napoli,25,1997,10,316,229,86,16,0,0,0,0,0,0,0,0,279,1,0
