Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Callum Hudson-Odoi, ENG,FW,Leverkusen,21,2000,5.1,1,8,2,25.0,1.56,0.39,0.13,0.5,18.8,0,0,0,0.8,0.8,0.1,0.2,0.2,
Mats Hummels, GER,DF,Dortmund,33,1988,3.5,0,1,0,0.0,0.29,0.0,0.0,,8.5,0,0,0,0.0,0.0,0.04,0.0,0,
Pierre Højbjerg, DEN,MF,Tottenham,26,1995,6.9,1,6,2,33.3,0.87,0.29,0.17,0.5,22.5,0,0,0,0.3,0.3,0.05,0.7,0.7,
Samuel Iling-Junior, ENG,DF,Juventus,18,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Gonçalo Inácio, POR,DF,Sporting CP,20,2001,6.0,0,1,0,0.0,0.17,0.0,0.0,,4.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,
Isco, ESP,"MF,FW",Sevilla,30,1992,4.4,1,8,5,62.5,1.8,1.13,0.13,0.2,19.9,1,0,0,0.7,0.7,0.08,0.3,0.3,
Franco Israel, URU,GK,Sporting CP,22,2000,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Luka Ivanušec, CRO,MF,Dinamo Zagreb,23,1998,5.8,0,8,4,50.0,1.37,0.69,0.0,0.0,19.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,
Ryan Jack, SCO,MF,Rangers,30,1992,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
