Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Jordan Veretout, FRA,MF,Marseille,29,1993,6,485,81.0,89.8,5.4,6,81.0,2,0,,0,1.0,7.0,7.0,0.0,0.0,0.0,6.4,4.7,1.7,0.31,-2.75
Lucas Veríssimo, BRA,DF,Benfica,27,1995,2,6,3.0,0.7,0.1,0,,0,2,3.0,4,3.0,1.0,0.0,1.0,15.0,13.79,0.1,0.1,0.1,0.81,-0.02
Gabriel Veron, BRA,"MF,FW",Porto,19,2002,3,47,16.0,6.5,0.5,0,,0,3,16.0,3,1.0,1.0,3.0,-2.0,-3.83,-4.63,1.3,1.9,-0.6,-1.14,-1.73
Marco Verratti, ITA,MF,Paris S-G,29,1992,7,623,89.0,86.5,6.9,7,89.0,5,0,,0,1.57,9.0,8.0,1.0,0.14,-4.49,7.8,9.2,-1.5,-0.21,-2.29
João Victor, BRA,DF,Benfica,24,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Vitinha, POR,MF,Paris S-G,22,2000,8,584,73.0,81.1,6.5,7,81.0,1,1,16.0,0,1.75,14.0,8.0,6.0,0.92,0.92,8.6,7.9,0.7,0.11,0.07
Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10,900,90.0,100.0,10.0,10,90.0,10,0,,0,2.36,26.0,13.0,13.0,1.3,,19.2,11.0,8.2,0.82,
Dušan Vlahović, SRB,FW,Juventus,22,2000,5,411,82.0,76.1,4.6,5,82.0,3,0,,0,0.6,5.0,10.0,-5.0,-1.09,-1.79,5.6,7.6,-2.0,-0.45,-0.48
Adam Vlkanova, CZE,MF,Viktoria Plzeň,27,1994,6,458,76.0,84.8,5.1,6,76.0,1,0,,0,0.0,5.0,21.0,-16.0,-3.14,0.15,5.3,13.0,-7.8,-1.52,0.42
Adam Vrba, CZE,FW,Viktoria Plzeň,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Stefan de Vrij, NED,DF,Inter,30,1992,7,299,43.0,25.6,3.3,3,80.0,1,4,15.0,6,1.57,4.0,5.0,-1.0,-0.3,-1.23,3.2,5.4,-2.2,-0.66,-1.18
Alexander Walke, GER,GK,RB Salzburg,39,1983,0,,,,,0,,0,0,,6,,,,,,,,,,,
Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,5,282,56.0,24.1,3.1,3,90.0,3,2,6.0,2,1.8,6.0,2.0,4.0,1.28,-1.05,4.5,2.7,1.8,0.57,-0.86
Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,2,36,18.0,4.0,0.4,0,,0,2,18.0,1,3.0,0.0,1.0,-1.0,-2.5,-4.27,0.8,0.4,0.3,0.85,0.01
Stephen Welsh, SCO,DF,Celtic,22,2000,1,90,90.0,16.7,1.0,1,90.0,1,0,,4,0.0,1.0,3.0,-2.0,-2.0,-0.2,0.9,2.2,-1.3,-1.31,-1.22
Wendell, BRA,DF,Porto,29,1993,6,143,24.0,19.9,1.6,1,62.0,0,5,16.0,2,1.67,0.0,3.0,-3.0,-1.89,-2.98,2.4,4.0,-1.6,-0.99,-1.84
Timo Werner, GER,FW,RB Leipzig,26,1996,8,500,63.0,69.4,5.6,7,68.0,2,1,22.0,0,1.63,8.0,12.0,-4.0,-0.72,-1.13,7.7,10.5,-2.8,-0.51,-1.33
Harvey White, ENG,MF,Tottenham,20,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,
Alfie Whiteman, ENG,GK,Tottenham,23,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
Owen Wijndal, NED,DF,Ajax,22,1999,2,76,38.0,14.1,0.8,1,43.0,0,1,33.0,2,1.5,2.0,0.0,2.0,2.37,3.73,1.1,0.2,0.9,1.11,2.05
Rhys Williams, ENG,DF,Liverpool,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,2,46,23.0,3.9,0.5,0,,0,2,23.0,4,3.0,3.0,0.0,3.0,5.87,3.95,1.8,0.5,1.3,2.55,1.38
Axel Witsel, BEL,"DF,MF",Atlético Madrid,33,1989,6,462,77.0,85.6,5.1,5,90.0,5,1,12.0,0,0.83,5.0,9.0,-4.0,-0.78,-0.78,8.1,9.3,-1.2,-0.23,-1.25
Maximilian Wöber, AUT,DF,RB Salzburg,24,1998,3,165,55.0,30.6,1.8,2,77.0,0,1,12.0,1,1.0,1.0,5.0,-4.0,-2.18,-2.18,3.0,3.3,-0.2,-0.14,-0.53
Marius Wolf, GER,DF,Dortmund,27,1995,4,176,44.0,24.4,2.0,2,81.0,1,2,7.0,2,1.75,1.0,2.0,-1.0,-0.51,-1.34,2.3,3.5,-1.2,-0.61,-0.65
Scott Wright, SCO,"FW,MF",Rangers,24,1997,4,136,34.0,25.2,1.5,2,45.0,0,2,23.0,2,0.57,1.0,9.0,-8.0,-5.29,-2.62,2.0,3.7,-1.7,-1.13,0.59
Roman Yaremchuk, UKR,FW,Club Brugge,26,1995,4,112,28.0,15.6,1.2,1,61.0,0,3,17.0,4,1.75,1.0,3.0,-2.0,-1.61,-1.46,1.8,2.5,-0.7,-0.54,0.69
Rıdvan Yılmaz, TUR,DF,Rangers,21,2001,1,90,90.0,16.7,1.0,1,90.0,1,0,,4,0.0,0.0,3.0,-3.0,-3.0,0.4,0.7,1.8,-1.1,-1.1,0.56
Danijel Zagorac, CRO,GK,Dinamo Zagreb,35,1987,0,,,,,0,,0,0,,4,,,,,,,,,,,
Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,3,83,28.0,11.5,0.9,1,56.0,0,2,14.0,4,1.0,1.0,2.0,-1.0,-1.08,-2.07,0.8,1.2,-0.4,-0.44,-0.61
Denis Zakaria, SUI,MF,Chelsea,25,1996,2,74,37.0,8.2,0.8,1,70.0,0,1,4.0,8,3.0,2.0,1.0,1.0,1.22,1.0,1.2,1.0,0.2,0.2,-0.39
Andre-Frank Zambo Anguissa, CMR,MF,Napoli,26,1995,8,650,81.0,72.2,7.2,8,81.0,5,0,,1,2.25,20.0,6.0,14.0,1.94,0.5,17.9,8.8,9.1,1.27,0.18
Alessandro Zanoli, ITA,DF,Napoli,21,2000,2,12,6.0,1.3,0.1,0,,0,2,6.0,4,3.0,0.0,0.0,0.0,0.0,-1.82,0.4,0.2,0.2,1.52,0.31
Mattia Zanotti, ITA,DF,Inter,19,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Zeca, GRE,MF,FC Copenhagen,33,1988,2,161,81.0,29.8,1.8,2,81.0,1,0,,0,1.25,0.0,2.0,-2.0,-1.12,1.02,1.2,2.6,-1.4,-0.78,0.41
Alessio Zerbin, ITA,FW,Napoli,23,1999,3,56,19.0,6.2,0.6,0,,0,3,19.0,3,3.0,2.0,0.0,2.0,3.21,1.51,1.6,0.6,1.0,1.68,0.5
Piotr Zieliński, POL,MF,Napoli,28,1994,10,619,62.0,68.8,6.9,8,75.0,1,2,8.0,0,2.2,16.0,8.0,8.0,1.16,-2.04,17.8,11.0,6.7,0.98,-0.76
Hakim Ziyech, MAR,"FW,MF",Chelsea,29,1993,4,148,37.0,16.4,1.6,1,90.0,1,3,19.0,5,1.0,0.0,1.0,-1.0,-0.61,-1.09,3.3,1.7,1.6,0.96,0.49
Oleksandr Zubkov, UKR,"FW,MF",Shakhtar,25,1996,5,365,73.0,67.6,4.1,5,73.0,1,0,,0,1.2,6.0,5.0,1.0,0.25,1.79,2.6,6.2,-3.6,-0.88,0.95
Neven Đurasek, CRO,MF,Shakhtar,23,1998,5,91,18.0,16.9,1.0,0,,0,5,18.0,1,1.0,2.0,3.0,-1.0,-0.99,-0.79,1.0,3.2,-2.1,-2.11,-1.11
