Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
André Paulo, POR,GK,Sporting CP,25,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
Benjamin Pavard, FRA,DF,Bayern Munich,26,1996,9,592,66.0,65.8,6.6,7,78.0,4,2,24.0,0,2.44,10.0,6.0,4.0,0.61,-2.9,11.4,8.0,3.4,0.52,-0.94
Strahinja Pavlović, SRB,DF,RB Salzburg,21,2001,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,1.0,5.0,9.0,-4.0,-0.67,,8.3,6.9,1.4,0.23,
Dimitri Payet, FRA,MF,Marseille,35,1987,2,77,39.0,14.3,0.9,1,58.0,0,1,19.0,4,1.5,0.0,1.0,-1.0,-1.17,-1.36,0.6,0.6,0.1,0.07,-0.6
Pedri, ESP,"MF,FW",Barcelona,19,2002,5,401,80.0,74.3,4.5,5,80.0,3,0,,1,0.8,8.0,9.0,-1.0,-0.22,-0.87,7.2,6.1,1.1,0.26,0.61
Luca Pellegrini, ITA,"DF,MF",Eint Frankfurt,23,1999,4,201,50.0,27.9,2.2,1,90.0,1,3,37.0,0,1.75,2.0,4.0,-2.0,-0.9,-0.2,1.9,1.7,0.2,0.08,0.96
Timothee Pembele, FRA,DF,Paris S-G,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Iñaki Peña, ESP,GK,Barcelona,23,1999,1,90,90.0,16.7,1.0,1,90.0,1,0,,5,3.0,4.0,2.0,2.0,2.0,2.4,2.3,2.6,-0.2,-0.24,-0.41
Pepe, POR,DF,Porto,39,1983,4,360,90.0,50.0,4.0,4,90.0,4,0,,0,0.75,3.0,7.0,-4.0,-1.0,-3.0,5.7,6.4,-0.7,-0.17,-1.3
Pepê, BRA,"DF,FW",Porto,25,1997,8,685,86.0,95.1,7.6,8,86.0,4,0,,0,1.63,11.0,5.0,6.0,0.79,5.93,13.6,10.3,3.3,0.43,-1.0
Danilo Pereira, POR,"DF,MF",Paris S-G,30,1991,7,450,64.0,62.5,5.0,5,87.0,4,2,8.0,0,1.57,5.0,6.0,-1.0,-0.2,-2.53,6.0,6.8,-0.7,-0.15,-0.65
Pablo Pérez, ESP,DF,Sevilla,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Dino Perić, CRO,DF,Dinamo Zagreb,28,1994,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,1.55,4.0,11.0,-7.0,-1.17,,4.2,12.5,-8.3,-1.39,
Mattia Perin, ITA,GK,Juventus,29,1992,2,180,90.0,33.3,2.0,2,90.0,2,0,,4,0.0,2.0,4.0,-2.0,-1.0,-0.5,1.8,3.9,-2.1,-1.03,-1.05
Ivan Perišić, CRO,"DF,MF",Tottenham,33,1989,7,572,82.0,79.4,6.4,7,82.0,5,0,,1,1.29,5.0,5.0,0.0,0.0,-0.61,6.5,6.4,0.1,0.02,-0.64
Luděk Pernica, CZE,DF,Viktoria Plzeň,32,1990,6,495,83.0,91.7,5.5,5,90.0,5,1,45.0,0,1.33,5.0,20.0,-15.0,-2.73,5.27,5.1,13.2,-8.1,-1.47,1.42
Máximo Perrone, ARG,MF,Manchester City,19,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Bruno Petković, CRO,FW,Dinamo Zagreb,27,1994,6,490,82.0,90.7,5.4,6,82.0,2,0,,0,1.42,4.0,9.0,-5.0,-0.92,2.68,3.7,9.8,-6.1,-1.13,2.89
Ivan Petryak, UKR,MF,Shakhtar,28,1994,6,180,30.0,33.3,2.0,1,90.0,1,5,18.0,0,1.0,2.0,5.0,-3.0,-1.5,-1.75,1.2,4.8,-3.6,-1.79,-0.91
Kalvin Phillips, ENG,MF,Manchester City,26,1995,3,41,14.0,3.5,0.5,0,,0,3,14.0,6,3.0,2.0,0.0,2.0,4.39,2.4,0.8,0.1,0.7,1.59,0.38
Nathaniel Phillips, ENG,DF,Liverpool,25,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,
Kamil Piątkowski, POL,DF,RB Salzburg,22,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Frantzdy Pierrot, HAI,FW,Maccabi Haifa,27,1995,6,481,80.0,89.1,5.3,6,80.0,0,0,,0,1.17,6.0,17.0,-11.0,-2.06,2.52,4.7,8.2,-3.5,-0.65,-0.75
Václav Pilař, CZE,"FW,MF",Viktoria Plzeň,33,1988,5,123,25.0,22.8,1.4,1,87.0,0,4,9.0,1,0.88,2.0,5.0,-3.0,-2.2,1.26,2.4,3.3,-0.9,-0.64,1.23
Rodrigo Pinho, BRA,FW,Benfica,31,1991,2,15,8.0,1.7,0.2,0,,0,2,8.0,3,1.0,0.0,0.0,0.0,0.0,-1.32,0.1,0.1,0.0,0.0,-0.84
Carlo Pinsoglio, ITA,GK,Juventus,32,1990,0,,,,,0,,0,0,,6,,,,,,,,,,,
Gerard Piqué, ESP,DF,Barcelona,35,1987,4,258,65.0,47.8,2.9,2,90.0,2,2,39.0,2,1.75,9.0,5.0,4.0,1.4,2.67,5.2,5.0,0.2,0.06,-0.07
Tommaso Pobega, ITA,MF,Milan,23,1999,8,163,20.0,15.1,1.8,0,,0,8,20.0,4,1.63,2.0,0.0,2.0,1.1,0.91,2.1,1.1,1.0,0.53,0.43
Suf Podgoreanu, ISR,DF,Maccabi Haifa,20,2002,1,12,12.0,2.2,0.1,0,,0,1,12.0,0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.1,-0.1,-0.75,-0.19
Matteo Politano, ITA,FW,Napoli,28,1993,9,403,45.0,44.8,4.5,6,62.0,0,3,10.0,1,2.11,11.0,2.0,9.0,2.01,0.38,13.1,6.0,7.1,1.58,0.66
Pedro Porro, ESP,"DF,MF",Sporting CP,22,1999,5,392,78.0,72.6,4.4,4,90.0,4,1,32.0,0,1.4,7.0,3.0,4.0,0.92,3.96,3.1,5.4,-2.3,-0.54,1.71
Pedro Porro, ESP,DF,Tottenham,22,1999,1,38,38.0,5.3,0.4,0,,0,1,38.0,1,1.0,0.0,0.0,0.0,0.0,-0.13,0.4,1.0,-0.6,-1.44,-1.68
Samuel Portugal, BRA,GK,Porto,28,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,
Yussuf Poulsen, DEN,"FW,MF",RB Leipzig,28,1994,5,72,14.0,10.0,0.8,0,,0,5,14.0,1,1.4,1.0,2.0,-1.0,-1.25,-0.97,0.6,1.1,-0.4,-0.54,-0.49
Christian Pulisic, USA,"DF,FW",Chelsea,23,1998,5,113,23.0,12.6,1.3,1,74.0,0,4,10.0,4,2.0,2.0,1.0,1.0,0.8,0.57,3.2,1.8,1.3,1.07,0.59
Andriy Pyatov, UKR,GK,Shakhtar,38,1984,0,,,,,0,,0,0,,6,,,,,,,,,,,
Adrien Rabiot, FRA,MF,Juventus,27,1995,5,446,89.0,82.6,5.0,5,89.0,4,0,,0,0.6,8.0,11.0,-3.0,-0.61,0.35,7.7,8.0,-0.3,-0.06,1.58
Ivan Rakitić, CRO,MF,Sevilla,34,1988,6,418,70.0,77.4,4.6,6,70.0,2,0,,0,0.83,6.0,6.0,0.0,0.0,4.43,4.4,6.6,-2.3,-0.49,1.39
Anthony Ralston, SCO,DF,Celtic,23,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,
Diant Ramaj, GER,GK,Eint Frankfurt,20,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
Cláudio Ramos, POR,GK,Porto,30,1991,0,,,,,0,,0,0,,8,,,,,,,,,,,
Gonçalo Ramos, POR,FW,Benfica,21,2001,10,712,71.0,79.1,7.9,10,71.0,2,0,,0,2.36,16.0,12.0,4.0,0.51,-3.8,15.4,9.9,5.5,0.69,-0.61
Sergio Ramos, ESP,DF,Paris S-G,36,1986,8,720,90.0,100.0,8.0,8,90.0,8,0,,0,1.75,16.0,10.0,6.0,0.75,,10.8,10.0,0.8,0.1,
Calvin Ramsay, SCO,DF,Liverpool,19,2003,1,4,4.0,0.6,0.0,0,,0,1,4.0,2,3.0,1.0,0.0,1.0,22.5,21.75,1.0,0.0,1.0,22.03,21.64
Raphinha, BRA,FW,Barcelona,25,1996,5,294,59.0,54.4,3.3,4,65.0,0,1,33.0,1,0.8,5.0,8.0,-3.0,-0.92,-2.02,5.8,5.3,0.6,0.17,0.16
Giacomo Raspadori, ITA,FW,Napoli,22,2000,7,250,36.0,27.8,2.8,3,65.0,0,4,14.0,1,1.86,13.0,3.0,10.0,3.6,2.49,7.0,3.9,3.1,1.1,-0.17
David Raum, GER,DF,RB Leipzig,24,1998,8,531,66.0,73.8,5.9,6,81.0,3,2,24.0,0,1.63,11.0,14.0,-3.0,-0.51,-0.51,9.0,9.7,-0.7,-0.12,-0.08
Ante Rebić, CRO,"FW,MF",Milan,28,1993,7,249,36.0,23.1,2.8,2,90.0,2,5,14.0,3,1.86,8.0,0.0,8.0,2.89,3.32,5.7,3.0,2.7,0.98,1.06
Youri Regeer, NED,"DF,MF",Ajax,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Sergio Reguilón, ESP,"DF,MF",Atlético Madrid,25,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,
Matheus Reis, BRA,DF,Sporting CP,27,1995,6,509,85.0,94.3,5.7,5,90.0,5,1,59.0,0,1.17,8.0,9.0,-1.0,-0.18,-0.18,3.7,9.8,-6.1,-1.08,-1.35
Karim Rekik, NED,DF,Sevilla,27,1994,1,90,90.0,16.7,1.0,1,90.0,1,0,,3,0.0,1.0,3.0,-2.0,-2.0,-1.2,0.4,2.0,-1.6,-1.56,-0.92
Devyne Rensch, NED,DF,Ajax,19,2003,4,287,72.0,53.1,3.2,3,80.0,1,1,47.0,1,1.5,7.0,8.0,-1.0,-0.31,1.11,4.7,6.5,-1.8,-0.56,0.19
